name,pgn,uci,epd,result
Zooey Attack,1. g3 Nh6 2. Nh3 d6 3. Ng5,g2g3 g8h6 g1h3 d7d6 h3g5,rnbqkb1r/ppp1pppp/3p3n/6N1/8/6P1/PPPPPP1P/RNBQKB1R b - -,
Croatian-Swedish Attack,1. g3 Nh6 2. Nh3 d6 3. g4,g2g3 g8h6 g1h3 d7d6 g3g4,rnbqkb1r/ppp1pppp/3p3n/8/6P1/7N/PPPPPP1P/RNBQKB1R b - -,
Russian Variation,1. g3 Nh6 2. b3 g6 3. Nh3,g2g3 g8h6 b2b3 g7g6 g1h3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. g3 Nh6 2. Nh3 g6 3. b3,g2g3 g8h6 g1h3 g7g6 b2b3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. g3 g6 2. b3 Nh6 3. Nh3,g2g3 g7g6 b2b3 g8h6 g1h3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. g3 g6 2. Nh3 Nh6 3. b3,g2g3 g7g6 g1h3 g8h6 b2b3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. b3 Nh6 2. g3 g6 3. Nh3,b2b3 g8h6 g2g3 g7g6 g1h3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. b3 Nh6 2. Nh3 g6 3. g3,b2b3 g8h6 g1h3 g7g6 g2g3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. b3 g6 2. g3 Nh6 3. Nh3,b2b3 g7g6 g2g3 g8h6 g1h3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. b3 g6 2. Nh3 Nh6 3. g3,b2b3 g7g6 g1h3 g8h6 g2g3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. Nh3 Nh6 2. g3 g6 3. b3,g1h3 g8h6 g2g3 g7g6 b2b3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. Nh3 Nh6 2. b3 g6 3. g3,g1h3 g8h6 b2b3 g7g6 g2g3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. Nh3 g6 2. g3 Nh6 3. b3,g1h3 g7g6 g2g3 g8h6 b2b3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Russian Variation,1. Nh3 g6 2. b3 Nh6 3. g3,g1h3 g7g6 b2b3 g8h6 g2g3,rnbqkb1r/pppppp1p/6pn/8/8/1P4PN/P1PPPP1P/RNBQKB1R b - -,
Improved Zooey Attack,1. g3 c5 2. b4 cxb4 3. Nh3,g2g3 c7c5 b2b4 c5b4 g1h3,rnbqkbnr/pp1ppppp/8/8/1p6/6PN/P1PPPP1P/RNBQKB1R b - -,
Improved Zooey Attack,1. Nh3 c5 2. b4 cxb4 3. g3,g1h3 c7c5 b2b4 c5b4 g2g3,rnbqkbnr/pp1ppppp/8/8/1p6/6PN/P1PPPP1P/RNBQKB1R b - -,
Taelman's Proof,1. c4 d5 2. cxd5 Qxd5 3. g4,c2c4 d7d5 c4d5 d8d5 g2g4,rnb1kbnr/ppp1pppp/8/3q4/6P1/8/PP1PPP1P/RNBQKBNR b - -,1-0
Steenhuis's Proof,1. c4 a5 2. b4 axb4 3. Qc2,c2c4 a7a5 b2b4 a5b4 d1c2,rnbqkbnr/1ppppppp/8/8/1pP5/8/P1QPPPPP/RNB1KBNR b - -,1-0
Steenhuis's Proof,1. c4 Nf6 2. e4 Nxe4 3. Bd3,c2c4 g8f6 e2e4 f6e4 f1d3,rnbqkb1r/pppppppp/8/8/2P1n3/3B4/PP1P1PPP/RNBQK1NR b - -,1-0
Canadian Attack,1. e3 Nc6 2. Ba6 bxa6 3. d4,e2e3 b8c6 f1a6 b7a6 d2d4,r1bqkbnr/p1pppppp/p1n5/8/3P4/4P3/PPP2PPP/RNBQK1NR b - -,
Obradović Attack,1. e3 Nc6 2. Ba6 bxa6 3. b4,e2e3 b8c6 f1a6 b7a6 b2b4,r1bqkbnr/p1pppppp/p1n5/8/1P6/4P3/P1PP1PPP/RNBQK1NR b - -,
Czech Attack,1. e3 Nc6 2. Ba6 bxa6 3. Qh5,e2e3 b8c6 f1a6 b7a6 d1h5,r1bqkbnr/p1pppppp/p1n5/7Q/8/4P3/PPPP1PPP/RNB1K1NR b - -,1-0
Amit Attack,1. e3 Nc6 2. Ba6 bxa6 3. a4,e2e3 b8c6 f1a6 b7a6 a2a4,r1bqkbnr/p1pppppp/p1n5/8/P7/4P3/1PPP1PPP/RNBQK1NR b - -,1-0
Old Wild Boar,1. e3 g5 2. Ba6 Nxa6 3. b4,e2e3 g7g5 f1a6 b8a6 b2b4,r1bqkbnr/pppppp1p/n7/6p1/1P6/4P3/P1PP1PPP/RNBQK1NR b - -,
Old Bishop Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxa6,e2e3 b7b5 f1b5 c8a6 b5a6,rn1qkbnr/p1pppppp/B7/8/8/4P3/PPPP1PPP/RNBQK1NR b - -,
Liardet Attack,1. e3 e6 2. Ba6 Nxa6 3. Qf3,e2e3 e7e6 f1a6 b8a6 d1f3,r1bqkbnr/pppp1ppp/n3p3/8/8/4PQ2/PPPP1PPP/RNB1K1NR b - -,
Beltman Attack,1. e3 e6 2. Ba6 Nxa6 3. h4,e2e3 e7e6 f1a6 b8a6 h2h4,r1bqkbnr/pppp1ppp/n3p3/8/7P/4P3/PPPP1PP1/RNBQK1NR b - -,
Kibbitz Attack,1. e3 e6 2. b4 Bxb4 3. Qh5,e2e3 e7e6 b2b4 f8b4 d1h5,rnbqk1nr/pppp1ppp/4p3/7Q/1b6/4P3/P1PP1PPP/RNB1KBNR b - -,0-1
Pawnik Attack,1. e3 e6 2. b4 Bxb4 3. Bc4,e2e3 e7e6 b2b4 f8b4 f1c4,rnbqk1nr/pppp1ppp/4p3/8/1bB5/4P3/P1PP1PPP/RNBQK1NR b - -,
Andryushkov Attack,1. e3 e6 2. b4 Bxb4 3. Bb5,e2e3 e7e6 b2b4 f8b4 f1b5,rnbqk1nr/pppp1ppp/4p3/1B6/1b6/4P3/P1PP1PPP/RNBQK1NR b - -,0-1
Wing Attack,1. e3 e6 2. b4 Bxb4 3. a4,e2e3 e7e6 b2b4 f8b4 a2a4,rnbqk1nr/pppp1ppp/4p3/8/Pb6/4P3/2PP1PPP/RNBQKBNR b - -,
Wing Attack,1. a4 e6 2. b4 Bxb4 3. e3,a2a4 e7e6 b2b4 f8b4 e2e3,rnbqk1nr/pppp1ppp/4p3/8/Pb6/4P3/2PP1PPP/RNBQKBNR b - -,
Bozick Attack,1. e3 e6 2. b4 Bxb4 3. Bd3,e2e3 e7e6 b2b4 f8b4 f1d3,rnbqk1nr/pppp1ppp/4p3/8/1b6/3BP3/P1PP1PPP/RNBQK1NR b - -,
Kibbitz Attack,1. b4 e6 2. e3 Bxb4 3. Qh5,b2b4 e7e6 e2e3 f8b4 d1h5,rnbqk1nr/pppp1ppp/4p3/7Q/1b6/4P3/P1PP1PPP/RNB1KBNR b - -,0-1
