name,pgn,uci,epd,result
Seattle Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Nxd7 4. d3 Bxd3 5. Qxd3 h6,e2e3 b7b5 f1b5 c8a6 b5d7 b8d7 d2d3 a6d3 d1d3 h7h6,r2qkbnr/p1pnppp1/7p/8/8/3QP3/PPP2PPP/RNB1K1NR w - -,1-0
Queen Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Nxd7 4. d3 Bxd3 5. Qxd3 Qb8,e2e3 b7b5 f1b5 c8a6 b5d7 b8d7 d2d3 a6d3 d1d3 d8b8,rq2kbnr/p1pnpppp/8/8/8/3QP3/PPP2PPP/RNB1K1NR w - -,1-0
Rook Defence,1. e3 b5 2. Bxb5 Ba6 3. Bxd7 Nxd7 4. d3 Bxd3 5. Qxd3 Rb8,e2e3 b7b5 f1b5 c8a6 b5d7 b8d7 d2d3 a6d3 d1d3 a8b8,1r1qkbnr/p1pnpppp/8/8/8/3QP3/PPP2PPP/RNB1K1NR w - -,1-0
Sordid Defence,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Na3 Bxa3 5. bxa3 Qh4,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b1a3 f8a3 b2a3 d8h4,rn2k1nr/p1pb1ppp/4p3/8/7q/P3P3/P1PP1PPP/R1BQK1NR w - -,1-0
Sjeng Defence,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Na3 Bxa3 5. bxa3 c6,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b1a3 f8a3 b2a3 c7c6,rn1qk1nr/p2b1ppp/2p1p3/8/8/P3P3/P1PP1PPP/R1BQK1NR w - -,1-0
Modern Beltman Attack,1. e3 e6 2. Ba6 Nxa6 3. h4 Qxh4 4. Rxh4 Ba3 5. Nxa3 b5,e2e3 e7e6 f1a6 b8a6 h2h4 d8h4 h1h4 f8a3 b1a3 b7b5,r1b1k1nr/p1pp1ppp/n3p3/1p6/7R/N3P3/PPPP1PP1/R1BQK1N1 w - -,
Andrejić's Proof,1. e3 c5 2. Bd3 g6 3. Bxg6 fxg6 4. Qh5 gxh5 5. h4 c4,e2e3 c7c5 f1d3 g7g6 d3g6 f7g6 d1h5 g6h5 h2h4 c5c4,rnbqkbnr/pp1pp2p/8/7p/2p4P/4P3/PPPP1PP1/RNB1K1NR w - -,1-0
Czech Variation,1. e3 c5 2. Bd3 g6 3. Bxg6 fxg6 4. Qh5 gxh5 5. h4 a5,e2e3 c7c5 f1d3 g7g6 d3g6 f7g6 d1h5 g6h5 h2h4 a7a5,rnbqkbnr/1p1pp2p/8/p1p4p/7P/4P3/PPPP1PP1/RNB1K1NR w - -,
Wing Defence Race,1. e3 c5 2. Bd3 a5 3. Bxh7 Rxh7 4. Qf3 Rxh2 5. Rxh2 Qc7,e2e3 c7c5 f1d3 a7a5 d3h7 h8h7 d1f3 h7h2 h1h2 d8c7,rnb1kbn1/1pqpppp1/8/p1p5/8/4PQ2/PPPP1PPR/RNB1K1N1 w - -,0-1
Andrejić's Proof,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 b3 5. cxb3 Nb8,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 b4b3 c2b3 a6b8,rnbqkbnr/pp1ppppp/8/8/8/1P1PP3/P4PPP/RNBQK1NR w - -,1-0
Andrejić's Proof,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 b3 5. cxb3 Nc7,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 b4b3 c2b3 a6c7,r1bqkbnr/ppnppppp/8/8/8/1P1PP3/P4PPP/RNBQK1NR w - -,1-0
Andrejić's Proof,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 b3 5. cxb3 Nb8,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 b4b3 c2b3 a6b8,rnbqkbnr/pp1ppppp/8/8/8/1P1PP3/P4PPP/RNBQK1NR w - -,1-0
Andrejić's Proof,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 b3 5. cxb3 Nc7,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 b4b3 c2b3 a6c7,r1bqkbnr/ppnppppp/8/8/8/1P1PP3/P4PPP/RNBQK1NR w - -,1-0
Exchange Variation,1. e3 c5 2. Bb5 c4 3. Bxd7 Kxd7 4. b3 cxb3 5. cxb3 h5,e2e3 c7c5 f1b5 c5c4 b5d7 e8d7 b2b3 c4b3 c2b3 h7h5,rnbq1bnr/pp1kppp1/8/7p/8/1P2P3/P2P1PPP/RNBQK1NR w - -,1-0
Recoyle Variation,1. e3 c5 2. Bb5 c4 3. Bxd7 Kxd7 4. b3 cxb3 5. cxb3 g5,e2e3 c7c5 f1b5 c5c4 b5d7 e8d7 b2b3 c4b3 c2b3 g7g5,rnbq1bnr/pp1kpp1p/8/6p1/8/1P2P3/P2P1PPP/RNBQK1NR w - -,1-0
Rubus Variation,1. e3 c5 2. Bb5 c4 3. Bxd7 Kxd7 4. b3 cxb3 5. cxb3 Nh6,e2e3 c7c5 f1b5 c5c4 b5d7 e8d7 b2b3 c4b3 c2b3 g8h6,rnbq1b1r/pp1kpppp/7n/8/8/1P2P3/P2P1PPP/RNBQK1NR w - -,1-0
Andrejić Defence,1. e3 b6 2. Qh5 c5 3. Qxh7 Rxh7 4. Bc4 Rxh2 5. Bxf7 Rxg2,e2e3 b7b6 d1h5 c7c5 h5h7 h8h7 f1c4 h7h2 c4f7 h2g2,rnbqkbn1/p2ppBp1/1p6/2p5/8/4P3/PPPP1Pr1/RNB1K1NR w - -,
Fish Defence,1. e3 b6 2. a4 e6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qe7,e2e3 b7b6 a2a4 e7e6 a1a3 f8a3 b1a3 b6b5 f1b5 d8e7,rnb1k1nr/p1ppqppp/4p3/1B6/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Watkins Finale,1. e3 b6 2. a4 e6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qg5,e2e3 b7b6 a2a4 e7e6 a1a3 f8a3 b1a3 b6b5 f1b5 d8g5,rnb1k1nr/p1pp1ppp/4p3/1B4q1/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Fish Defence,1. e3 e6 2. a4 b6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qe7,e2e3 e7e6 a2a4 b7b6 a1a3 f8a3 b1a3 b6b5 f1b5 d8e7,rnb1k1nr/p1ppqppp/4p3/1B6/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Watkins Finale,1. e3 e6 2. a4 b6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qg5,e2e3 e7e6 a2a4 b7b6 a1a3 f8a3 b1a3 b6b5 f1b5 d8g5,rnb1k1nr/p1pp1ppp/4p3/1B4q1/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Fish Defence,1. a4 b6 2. e3 e6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qe7,a2a4 b7b6 e2e3 e7e6 a1a3 f8a3 b1a3 b6b5 f1b5 d8e7,rnb1k1nr/p1ppqppp/4p3/1B6/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Watkins Finale,1. a4 b6 2. e3 e6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qg5,a2a4 b7b6 e2e3 e7e6 a1a3 f8a3 b1a3 b6b5 f1b5 d8g5,rnb1k1nr/p1pp1ppp/4p3/1B4q1/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Fish Defence,1. a4 e6 2. e3 b6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qe7,a2a4 e7e6 e2e3 b7b6 a1a3 f8a3 b1a3 b6b5 f1b5 d8e7,rnb1k1nr/p1ppqppp/4p3/1B6/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Watkins Finale,1. a4 e6 2. e3 b6 3. Ra3 Bxa3 4. Nxa3 b5 5. Bxb5 Qg5,a2a4 e7e6 e2e3 b7b6 a1a3 f8a3 b1a3 b6b5 f1b5 d8g5,rnb1k1nr/p1pp1ppp/4p3/1B4q1/P7/N3P3/1PPP1PPP/2BQK1NR w - -,1-0
Fianchetto Suicide Defence,1. Nh3 g5 2. Nxg5 Bg7 3. Nxh7 Bxb2 4. Bxb2 Rxh7 5. Bf6 exf6 6. Rg1,g1h3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2f6 e7f6 h1g1,rnbqk1n1/pppp1p1r/5p2/8/8/8/P1PPPPPP/RN1QKBR1 b - -,0-1
Nilatac Variation,1. Nh3 g5 2. Nxg5 Bg7 3. Nxh7 Bxb2 4. Bxb2 Rxh7 5. Bf6 exf6 6. Qc1,g1h3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2f6 e7f6 d1c1,rnbqk1n1/pppp1p1r/5p2/8/8/8/P1PPPPPP/RNQ1KB1R b - -,0-1
Icelandic Variation,1. Nh3 g5 2. Nxg5 Bg7 3. Nxh7 Bxb2 4. Bxb2 Rxh7 5. Bf6 exf6 6. h3,g1h3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2f6 e7f6 h2h3,rnbqk1n1/pppp1p1r/5p2/8/8/7P/P1PPPPP1/RN1QKB1R b - -,
Stayalive Variation,1. g3 c5 2. Nh3 g5 3. Nxg5 Bg7 4. Nxh7 Bxb2 5. Bxb2 Rxh7 6. Bd4,g2g3 c7c5 g1h3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2d4,rnbqk1n1/pp1ppp1r/8/2p5/3B4/6P1/P1PPPP1P/RN1QKB1R b - -,
Stayalive Variation,1. Nh3 c5 2. g3 g5 3. Nxg5 Bg7 4. Nxh7 Bxb2 5. Bxb2 Rxh7 6. Bd4,g1h3 c7c5 g2g3 g7g5 h3g5 f8g7 g5h7 g7b2 c1b2 h8h7 b2d4,rnbqk1n1/pp1ppp1r/8/2p5/3B4/6P1/P1PPPP1P/RN1QKB1R b - -,
Knight Variation,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Nxd2,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 b1d2,rn3bnr/p1p1pBpp/8/8/8/4P3/PPPN1P1P/R1BQK1Nb b - -,
Bishop Variation,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Bxd2,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 c1d2,rn3bnr/p1p1pBpp/8/8/8/4P3/PPPB1P1P/RN1QK1Nb b - -,1-0
King Variation,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Kxd2,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 e1d2,rn3bnr/p1p1pBpp/8/8/8/4P3/PPPK1P1P/RNBQ2Nb b - -,1-0
Sandström Attack,1. e3 e6 2. Ba6 Nxa6 3. b4 Bxb4 4. Qg4 Bxd2 5. Qxg7 Bxe3 6. Bxe3,e2e3 e7e6 f1a6 b8a6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3,r1bqk1nr/pppp1pQp/n3p3/8/8/4B3/P1P2PPP/RN2K1NR b - -,
Nilatac Gambit,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 Qc7 5. Nc3 Qxc3 6. Ne2,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 d8c7 b1c3 c7c3 g1e2,r1b1kbnr/pp1ppppp/n7/8/1p6/2qPP3/P1P1NPPP/R1BQK2R b - -,
Nilatac Gambit,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 Qc7 5. Nc3 Qxc3 6. Ne2,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 d8c7 b1c3 c7c3 g1e2,r1b1kbnr/pp1ppppp/n7/8/1p6/2qPP3/P1P1NPPP/R1BQK2R b - -,
Recoyle Bishop Variation,1. e3 c5 2. Bb5 c4 3. Bxd7 Kxd7 4. b3 cxb3 5. cxb3 g5 6. Ba3,e2e3 c7c5 f1b5 c5c4 b5d7 e8d7 b2b3 c4b3 c2b3 g7g5 c1a3,rnbq1bnr/pp1kpp1p/8/6p1/8/BP2P3/P2P1PPP/RN1QK1NR b - -,1-0
Yabba's Proof,1. e3 g5 2. Ba6 Nxa6 3. Qh5 Bg7 4. Qxh7 Bxb2 5. Qxh8 Bxa1 6. Qxa1,e2e3 g7g5 f1a6 b8a6 d1h5 f8g7 h5h7 g7b2 h7h8 b2a1 h8a1,r1bqk1n1/pppppp2/n7/6p1/8/4P3/P1PP1PPP/QNB1K1NR b - -,1-0
Modern Suicide Defence,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Kxd2 Bd5,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 e1d2 h1d5,rn3bnr/p1p1pBpp/8/3b4/8/4P3/PPPK1P1P/RNBQ2N1 w - -,1-0
Old Suicide Defence,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Kxd2 Bf3,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 e1d2 h1f3,rn3bnr/p1p1pBpp/8/8/8/4Pb2/PPPK1P1P/RNBQ2N1 w - -,1-0
Modern Suicide Defence,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Qxd2 5. Bxf7 Bxh1 6. Kxd2 Bd5,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 d8d2 e8f7 g2h1 e1d2 h1d5,rn3bnr/p1p1pBpp/8/3b4/8/4P3/PPPK1P1P/RNBQ2N1 w - -,1-0
Old Suicide Defence,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Qxd2 5. Bxf7 Bxh1 6. Kxd2 Bf3,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 d8d2 e8f7 g2h1 e1d2 h1f3,rn3bnr/p1p1pBpp/8/8/8/4Pb2/PPPK1P1P/RNBQ2N1 w - -,1-0
Sjeng Race,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 Qa5,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 d8a5,rnb1k1nr/pp1p1pQp/4p3/q1B5/8/8/P1P2PPP/RN2KBNR w - -,1-0
Sjeng Race,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 Qa5,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 d8a5,rnb1k1nr/pp1p1pQp/4p3/q1B5/8/8/P1P2PPP/RN2KBNR w - -,1-0
Turkish Defence,1. e3 b6 2. Ba6 Nxa6 3. Qe2 b5 4. Qxb5 Nb4 5. Qxd7 Nxa2 6. Rxa2 Qxd7,e2e3 b7b6 f1a6 b8a6 d1e2 b6b5 e2b5 a6b4 b5d7 b4a2 a1a2 d8d7,r1b1kbnr/p1pqpppp/8/8/8/4P3/RPPP1PPP/1NB1K1NR w - -,
Old Dipilato Attack,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Qxh8,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 g7h8,rnbqk1nQ/p2p1p1p/1p2p3/2B5/8/8/P1P2PPP/RN2KBNR b - -,
Old Dipilato Attack,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Qxh8,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 g7h8,rnbqk1nQ/p2p1p1p/1p2p3/2B5/8/8/P1P2PPP/RN2KBNR b - -,
King Variation,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Na3 Bxa3 5. bxa3 Bc8 6. a4 Qxd2 7. Kxd2,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b1a3 f8a3 b2a3 d7c8 a3a4 d8d2 e1d2,rnb1k1nr/p1p2ppp/4p3/8/P7/4P3/P1PK1PPP/R1BQ2NR b - -,1-0
Bishop Variation,1. e3 b5 2. Bxb5 e6 3. Bxd7 Bxd7 4. Na3 Bxa3 5. bxa3 Bc8 6. a4 Qxd2 7. Bxd2,e2e3 b7b5 f1b5 e7e6 b5d7 c8d7 b1a3 f8a3 b2a3 d7c8 a3a4 d8d2 c1d2,rnb1k1nr/p1p2ppp/4p3/8/P7/4P3/P1PB1PPP/R2QK1NR b - -,1-0
Nilatac Attack,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxg8,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7g8,rnb1k1Qr/p2p1p1p/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,
Tabiya Attack,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxh7,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7h7,rnb1k1nr/p2p1p1Q/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,
Watkins System,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxf7,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7f7,rnb1k1nr/p2p1Q1p/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,1-0
Watkins System,1. e3 e6 2. b4 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Qxf7 Kxf7 8. Bxb6,e2e3 e7e6 b2b4 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 g7f7 e8f7 c5b6,rnbq2nr/p2p1k1p/1B2p3/8/8/8/P1P2PPP/RN2KBNR b - -,1-0
Nilatac Attack,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxg8,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7g8,rnb1k1Qr/p2p1p1p/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,
Tabiya Attack,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxh7,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7h7,rnb1k1nr/p2p1p1Q/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,
Watkins System,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Bxb6 Qxb6 8. Qxf7,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 c5b6 d8b6 g7f7,rnb1k1nr/p2p1Q1p/1q2p3/8/8/8/P1P2PPP/RN2KBNR b - -,1-0
Watkins System,1. b4 e6 2. e3 Bxb4 3. Qg4 Bxd2 4. Qxg7 Bxe3 5. Bxe3 c5 6. Bxc5 b6 7. Qxf7 Kxf7 8. Bxb6,b2b4 e7e6 e2e3 f8b4 d1g4 b4d2 g4g7 d2e3 c1e3 c7c5 e3c5 b7b6 g7f7 e8f7 c5b6,rnbq2nr/p2p1k1p/1B2p3/8/8/8/P1P2PPP/RN2KBNR b - -,1-0
Andrejić's Proof,1. e3 c5 2. Ba6 Nxa6 3. b4 cxb4 4. d3 b3 5. cxb3 Nc7 6. b4 Ne6 7. d4 Nxd4 8. Qxd4 Qc7,e2e3 c7c5 f1a6 b8a6 b2b4 c5b4 d2d3 b4b3 c2b3 a6c7 b3b4 c7e6 d3d4 e6d4 d1d4 d8c7,r1b1kbnr/ppqppppp/8/8/1P1Q4/4P3/P4PPP/RNB1K1NR w - -,1-0
Andrejić's Proof,1. e3 c5 2. b4 cxb4 3. Ba6 Nxa6 4. d3 b3 5. cxb3 Nc7 6. b4 Ne6 7. d4 Nxd4 8. Qxd4 Qc7,e2e3 c7c5 b2b4 c5b4 f1a6 b8a6 d2d3 b4b3 c2b3 a6c7 b3b4 c7e6 d3d4 e6d4 d1d4 d8c7,r1b1kbnr/ppqppppp/8/8/1P1Q4/4P3/P4PPP/RNB1K1NR w - -,1-0
Computer Defence,1. e3 b5 2. Bxb5 Bb7 3. Bxd7 Bxg2 4. Bxe8 Bxh1 5. Bxf7 Qxd2 6. Kxd2 Bf3 7. Bxg8 Rxg8 8. Qxf3 Nd7 9. Qxf8 Nxf8 10. e4 Rh8,e2e3 b7b5 f1b5 c8b7 b5d7 b7g2 d7e8 g2h1 e8f7 d8d2 e1d2 h1f3 f7g8 h8g8 d1f3 b8d7 f3f8 d7f8 e3e4 g8h8,r4n1r/p1p1p1pp/8/8/4P3/8/PPPK1P1P/RNB3N1 w - -,1-0
